subject,predicate,object
武汉轨道交通5号线六标建设二路站~和平公园站区间联络通道,施工时间,2018年12月-2019年3月
杭州地铁5号线一期工程SG5-11标城市之星站~打铁关站~宝善桥站区间联络通道,施工时间,2019年3月-2019年10月
杭州地铁5号线一期工程SG5-19标金鸡路站~人民广场站区间联络通道,施工时间,2019年4月-2019年8月
杭州地铁5号线一期工程SG5-17标江晖路站~滨康路站~青年路站区间隧道联络通道,设备供应商,特凿公司
项目编号418,标注内容,特凿公司
上海轨道交通15号线22标区间联络通道含泵站工程,设计单位,约翰芬雷华能设计公司
洛阳地铁1号线03标段盾构工程塔湾~史家湾区间冷冻法联络通道及泵房工程,施工单位,中水电十一局轨道分局
洛阳地铁1号线03标段盾构工程塔湾~史家湾区间冷冻法联络通道及泵房工程,设计单位,约翰芬雷华能设计公司
洛阳地铁1号线03标段盾构工程塔湾~史家湾区间冷冻法联络通道及泵房工程,技术支持,特凿公司
洛阳地铁1号线03标段盾构工程塔湾~史家湾区间冷冻法联络通道及泵房工程,施工时间,2018年12月至2019年3月
杭州地铁6号线一期工程SG6-4标段美院象山站~枫桦西路站区间联络通道,供应商,特谐公司
武汉轨道交通5号线工程第五标段徐杨区间及杨余区间联络通道,施工时间,2018年11月-2019年5月
杭州地铁5号线一期工程SG5-9标冷冻法联络通道加固工程,施工时间,2019年1月至2019年5月
福州地铁6号线莲~滨区间、滨~壶区间联络通道冻结施工,建设单位,中铁二局
福州地铁6号线莲~滨区间、滨~壶区间联络通道冻结施工,设计单位,南京设计院
福州地铁6号线莲~滨区间、滨~壶区间联络通道冻结施工,施工时间,2018年12月-2019年11月
福州地铁6号线莲~滨区间、滨~壶区间联络通道冻结施工,设备供应商,特谐公司
武汉轨道交通8号线二期工程第二标段省中、中水区间联络通道,设计单位,中铁四院集团
北京地铁7号线东延工程施工园站~环球影城站联络通道,施工单位,中铁二局
杭州地铁5号线一期工程SG5-1标段,施工时间,2018年12月至2019年7月
昆明轨道交通6号线二期塘子巷站~拓东体育馆站区间联络通道,埋深,18.23米
昆明轨道交通6号线二期塘子巷站~拓东体育馆站区间联络通道,埋深,13.6米
哈尔滨地铁2号线太阳岛~冰雪大站区间1号联络通道,中心埋深,22.42米
哈尔滨地铁2号线太阳岛~冰雪大站区间1号联络通道,中心埋深,25.32米
广州地铁14号线一期17标江浦路~街口路区间5号联络通道,中心埋深,22米
广州地铁14号线一期17标江浦路~街口路区间6号联络通道,中心埋深,20.5米
广州地铁14号线一期17标江浦路~街口路区间5号联络通道,长度,13米
广州地铁14号线一期17标江浦路~街口路区间6号联络通道,长度,13米
广州地铁14号线一期17标江浦路~街口路区间5号联络通道,所属区间,江浦路~街口路区间
广州地铁14号线一期17标江浦路~街口路区间6号联络通道,所属区间,江浦路~街口路区间
南昌地铁2号线4标红阳区间联络通道,冻结开始,2018年5月
南昌地铁2号线4标红阳区间联络通道,冻结结束,2018年9月
上海轨道交通14号线金园五路站~临洮路站区间联络通道,中心标高,-14.4
上海轨道交通14号线金园五路站~临洮路站区间联络通道,中心标高,-16.5
福州轨道交通2号线10标鼓山站~洋里站区间联络通道,中心埋深,25.7米
福州轨道交通2号线10标鼓山站~洋里站区间联络通道,施工单位,中交二公局一公司
福州轨道交通2号线10标鼓山站~洋里站区间联络通道,设计单位,南京设计院
福州轨道交通2号线10标鼓山站~洋里站区间联络通道,冻结施工时间,2018年4月至2018年10月
郑州轨道交通2号线二期03标田园路站~金达街站~刘庄站区间联络通道,中心埋深,19.5米
郑州轨道交通2号线二期03标田园路站~金达街站~刘庄站区间联络通道,中心埋深,16.2米
郑州轨道交通2号线二期03标田园路站~金达街站~刘庄站区间联络通道,中心埋深,14.5米
郑州轨道交通2号线二期03标田园路站~金达街站~刘庄站区间联络通道,中心埋深,19.78米
武汉轨道交通8号线3期野芷湖站~黄家湖地铁小镇站区间联络通道,冻结施工,2018年3月
武汉轨道交通8号线3期野芷湖站~黄家湖地铁小镇站区间联络通道,冻结施工,2018年8月
杭州地铁6号线2标双浦站~河山路站区间联络通道,中心埋深,15.56米
杭州地铁6号线2标双浦站~河山路站区间联络通道,中心埋深,18.5米
福州地铁2号线5标洪湾站~金山站区间联络通道,埋深,27米
福州地铁2号线5标洪湾站~金山站区间联络通道,泵站底板,底板埋深
杭州地铁5号线21标通惠路站~火车南站区间联络通道,长度,11.2米
济南轨道交通R1线王府庄站~大杨庄站区间2号联络通道,冻结施工,2018年1月至2018年5月
郑州地铁5号线农业东路~心怡路站区间2号联络通道,埋深,23.2米
沈阳地铁10号线柳条湖~北大营街站区间1号联络通道,建设单位,中铁一局二公司
南宁轨道交通3号线科园大道站~创业路站区间联络通道,施工单位,特凿公司
南宁轨道交通3号线科园大道站~创业路站区间联络通道,建设单位,中铁十九局城轨公司
南宁轨道交通3号线科园大道站~创业路站区间联络通道,设计单位,约翰芬雷华能设计公司
南宁轨道交通3号线科园大道站~创业路站区间联络通道,埋深,18米
南宁轨道交通3号线科园大道站~创业路站区间联络通道,长度,14米
南宁轨道交通3号线科园大道站~创业路站区间联络通道,冻结施工时间,2017年11月至2018年2月
杭州地铁5号线一期工程SG5-8标段巨州路~上塘路~沈半路站区间联络通道,冻结时间,12.847
杭州地铁5号线一期工程SG5-8标段巨州路~上塘路~沈半路站区间联络通道,冻结时间,10.26
杭州地铁5号线一期工程SG5-8标段巨州路~上塘路~沈半路站区间联络通道,施工周期,2018年6月至2019年1月
12.847,对应施工,主体冻结
10.26,对应施工,泵站区域冻结
上海轨道交通15号线元江路站~双柏路站联络通道,冻结时间,14.025天
上海轨道交通15号线元江路车辆段出入场线盾构段联络通道,冻结时间,12.5天
上海轨道交通15号线元江路车辆段出入场线盾构段泵房,冻结时间,12天
济南轨道交通R3线六标段盾构区间联络通道,冻结时间,2018年10月至2019年7月
太原轨道交通2号线SGTJ-202标化章街站~通达街站~康宁街站盾构区间联络通道,冻结时间,2018年9月-2019年2月
太原轨道交通2号线SGTJ-202标化章街站~通达街站~康宁街站盾构区间联络通道,建设单位,中铁十七局上海城轨公司
太原轨道交通2号线SGTJ-202标化章街站~通达街站~康宁街站盾构区间联络通道,设计单位,约翰芬雷华能设计公司
太原轨道交通2号线SGTJ-202标化章街站~通达街站~康宁街站盾构区间联络通道,施工单位,特凿公司
太原轨道交通2号线SGTJ-202标化章街站~通达街站~康宁街站盾构区间联络通道,冻结参数,24.5、22对应14.2、12.7
郑州轨道交通4号线工程土建施工05标段鑫~副~龙区间联络通道,冻结时间,2018年3月至2018年9月
郑州轨道交通4号线工程土建施工05标段鑫~副~龙区间联络通道,建设单位,上海隧道公司
郑州轨道交通4号线工程土建施工05标段鑫~副~龙区间联络通道,设计单位,约翰芬雷华能设计公司
郑州轨道交通4号线工程土建施工05标段鑫~副~龙区间联络通道,冻结施工,特凿公司
郑州轨道交通4号线工程土建施工05标段鑫~副~龙区间联络通道,冻结周期,2018年第三季度
哈尔滨轨道交通2号线一期工程五标段冰太区间1号联络通道,冻结长度,13
福州地铁2号线10标鼓山站~下岐楼站区间联络通道,冻结时间,2018年5月至2018年10月
福州地铁2号线10标鼓山站~下岐楼站区间联络通道,建设单位,中交二公局一公司
福州地铁2号线10标鼓山站~下岐楼站区间联络通道,设计单位,约翰芬雷华能设计公司
福州地铁2号线10标鼓山站~下岐楼站区间联络通道,施工单位,特凿公司
福州地铁2号线10标鼓山站~下岐楼站区间联络通道,冻结长度,26米
福州地铁2号线10标鼓山站~下岐楼站区间联络通道,冻结直径,25.32米
武汉地铁8号线三期工程野芷湖站~黄家湖地铁小镇站1号联络通道及泵房工程,冻结长度,24.381
杭州地铁5号线一期工程SG5-2标段中央公园站~仓前站区间联络通道,冻结长度,9.64米
杭州地铁5号线一期工程SG5-2标段中央公园站~仓前站区间联络通道,施工时间,2018年2月至2018年6月
杭州地铁5号线一期工程SG5-2标段中央公园站~仓前站区间联络通道,建设单位,腾达建设集团
杭州地铁5号线一期工程SG5-2标段中央公园站~仓前站区间联络通道,设计单位,南京设计院
杭州地铁5号线一期工程SG5-2标段中央公园站~仓前站区间联络通道,冻结施工,特凿公司
郑州轨道交通5号线土建05标农心盾构区间2号联络通道工程合同补充协议,冻结时间,2018年3月-2018年7月
济南轨道交通R1线王府庄站~大杨庄站区间2号联络通道,工期起止,2018年2月-2018年7月
呼和浩特轨道交通2号线一期工程03标盾构区间联络通道,冻结时间,2018年9月-2019年6月
厦门轨道交通2号线一标海东区间联络通道,冻结长度,22.487米
厦门轨道交通2号线一标海东区间联络通道,冻结长度,34.416米
厦门轨道交通2号线一标海东区间联络通道,冻结长度,44.451米
上海地铁13号线马当~卢浦联络通道,施工时间,2008年9月-2008年12月
成都轨道交通10号线二期工程土建1标项目部联络通道冷冻法施工,设计单位,中铁上海设计院
上海地铁2号线广兰~塘镇3号联络通道,线间距,11
上海地铁11号线铜川~西站联络通道,线间距,13.6
无锡地铁3号线土建工程11标,施工单位,中铁四局二公司
无锡地铁3号线土建工程11标,设计单位,约翰芬雷华能设计公司
无锡地铁3号线土建工程11标,施工时间,2018年4月至2019年1月
特凿公司,参与施工,无锡地铁3号线土建工程11标
南京地铁2号线所街站~向兴站联络通道,施工时间,2007年1月-2007年5月
上海地铁8号线2标济阳路~杨思路联络通道,施工公司,宏润集团
上海地铁7号线24标杨高路~锦绣路~沪南路联络通道,线间距,13米
南京地铁1号线玄武门~许府巷区间联络通道,施工时间,2003年4月至2003年6月
杭州地铁5号线14标冷冻法施工工程,线间距,10、10、11
新建铁路珠机城际轨道交通工程金横区间4号横通道工程,施工公司,中交珠海城轨投资公司
福州地铁1号线二期2标安梁区间联络通道及泵房工程,线间距,12.1
福州地铁1号线二期2标安梁区间联络通道及泵房工程,线间距,22.827
武汉轨道交通5号线第七标段十一路站~红钢城站区间联络通道,施工时间,2019年9月
上海市轨道交通14号线工程土建16标昌邑路站~歇浦路站~龙居路站~云山路站盾构区间联络井,施工方,上海隧道公司
上海市轨道交通14号线工程土建16标昌邑路站~歇浦路站~龙居路站~云山路站盾构区间联络井,设计方,约翰芬雷华能设计公司
上海市轨道交通14号线工程土建16标昌邑路站~歇浦路站~龙居路站~云山路站盾构区间联络井,包含,盾构区间
上海市轨道交通14号线工程土建16标昌邑路站~歇浦路站~龙居路站~云山路站盾构区间联络井,包含,联络井
上海市轨道交通14号线工程土建16标昌邑路站~歇浦路站~龙居路站~云山路站盾构区间联络井,包含,云山路获柴浜桥区间通道
上海隧道公司,负责,施工
特凿公司,相关,该工程
昆明轨道交通5号线土建八标福~会区间联络通道,施工公司,中铁十一局城轨公司
昆明轨道交通5号线土建八标滇~金区间联络通道,施工公司,中铁十一局城轨公司
昆明轨道交通5号线土建八标金~福区间联络通道,施工公司,中铁十一局城轨公司
昆明轨道交通5号线土建八标会~宝区间联络通道,施工公司,中铁十一局城轨公司
昆明轨道交通5号线土建八标出入场线联络通道,施工公司,中铁十一局城轨公司
昆明轨道交通5号线土建八标福~会区间联络通道,设计单位,约翰芬雷华能设计公司
昆明轨道交通5号线土建八标滇~金区间联络通道,设计单位,约翰芬雷华能设计公司
昆明轨道交通5号线土建八标金~福区间联络通道,设计单位,约翰芬雷华能设计公司
昆明轨道交通5号线土建八标会~宝区间联络通道,设计单位,约翰芬雷华能设计公司
昆明轨道交通5号线土建八标出入场线联络通道,设计单位,约翰芬雷华能设计公司
昆明轨道交通5号线土建八标福~会区间联络通道,包含泵房,是
昆明轨道交通5号线土建八标滇~金区间联络通道,包含泵房,是
昆明轨道交通5号线土建八标金~福区间联络通道,包含泵房,是
昆明轨道交通5号线土建八标会~宝区间联络通道,包含泵房,是
昆明轨道交通5号线土建八标出入场线联络通道,包含泵房,是
昆明轨道交通5号线土建八标福~会区间联络通道,施工时间,2019年7月
昆明轨道交通5号线土建八标滇~金区间联络通道,施工时间,2019年7月
昆明轨道交通5号线土建八标金~福区间联络通道,施工时间,2019年7月
昆明轨道交通5号线土建八标会~宝区间联络通道,施工时间,2019年7月
昆明轨道交通5号线土建八标出入场线联络通道,施工时间,2019年7月
昆明轨道交通5号线土建八标福~会区间联络通道,施工结束,2019年12月
昆明轨道交通5号线土建八标滇~金区间联络通道,施工结束,2019年12月
昆明轨道交通5号线土建八标金~福区间联络通道,施工结束,2019年12月
昆明轨道交通5号线土建八标会~宝区间联络通道,施工结束,2019年12月
昆明轨道交通5号线土建八标出入场线联络通道,施工结束,2019年12月
南通轨道交通1号线04标段三工区世中区间及海盘区间盾构联络通道,线间距,12.5
南通轨道交通1号线04标段三工区世中区间及海盘区间盾构联络通道,线间距,13.21
洛阳轨道交通1号线工程正线秦岭路站~武汉路站区间2号联络通道,承包商,中铁十一局城轨公司
洛阳轨道交通1号线工程正线秦岭路站~武汉路站区间2号联络通道,施工方,特凿公司
洛阳轨道交通1号线工程正线秦岭路站~武汉路站区间2号联络通道,设计单位,约翰芬雷华能设计公司
洛阳轨道交通1号线工程正线秦岭路站~武汉路站区间2号联络通道,工期,2019年8月至2019年12月
天津地铁3号线水上北路站~吴家窑站区间联络通道,长度相似,上海地铁5号线环城东路～望园路区间2号联络通道
天津地铁3号线水上北路站~吴家窑站区间联络通道,标高相同,武汉轨道交通7号线王家墩东站~新华路站区间联络通道
天津地铁3号线水上北路站~吴家窑站区间联络通道,结构类似,永夏矿区深厚冲积层特殊凿井技术
天津地铁3号线水上北路站~吴家窑站区间联络通道,采用技术,复杂条件下的冻结井筒施工成套技术
天津地铁3号线水上北路站~吴家窑站区间联络通道,符合规范,煤矿冻结法开凿立井工程技术规范
天津地铁3号线水上北路站~吴家窑站区间联络通道,涉及施工,井巷特殊施工
天津地铁3号线水上北路站~吴家窑站区间联络通道,涉及特性,冻结壁力学特性
天津地铁3号线水上北路站~吴家窑站区间联络通道,参考研究,深厚表土层冻结壁稳定性
天津地铁3号线水上北路站~吴家窑站区间联络通道,长度相似,上海轨道交通12号线30标金京路站~申江路站区间联络通道及泵站冻结加固工程
天津地铁3号线水上北路站~吴家窑站区间联络通道,标高相同,上海轨道交通12号线30标金京路站~申江路站区间联络通道及泵站冻结加固工程
天津地铁3号线水上北路站~吴家窑站区间联络通道,区间相近,中央风井~金海路站区间
永夏矿区深厚冲积层特殊凿井技术,涉及技术,《特殊凿井》
永夏矿区深厚冲积层特殊凿井技术,涉及场景,《城市地下工程人工冻结法理论与实践》
陈文豹,著作相关,《复杂条件下的冻结井筒施工成套技术》
永夏矿区深厚冲积层特殊凿井技术,涉及技术,稳定性控制技术
永夏矿区深厚冲积层特殊凿井技术,相关研究,冻结壁力学特性
陈文豹,研究领域,复杂条件下的冻结井筒施工成套技术
永夏矿区深厚冲积层特殊凿井技术,技术类似,上海轨道交通12号线30标金京路站~申江路站区间联络通道及泵站冻结加固工程
陈文豹,参与研究,上海轨道交通12号线30标金京路站~申江路站区间联络通道及泵站冻结加固工程
复杂条件下的冻结井筒施工成套技术,涉及技术,稳定性控制技术
复杂条件下的冻结井筒施工成套技术,研究内容,冻结壁力学特性
煤矿冻结法开凿立井工程技术规范,适用场景,深厚表土层冻结壁稳定性
《复杂条件下的冻结井筒施工成套技术》,适用于,上海轨道交通12号线30标金京路站~申江路站区间联络通道及泵站冻结加固工程
《城市地下工程人工冻结法理论与实践》,支持项目,上海轨道交通12号线30标金京路站~申江路站区间联络通道及泵站冻结加固工程
《煤矿冻结法开凿立井工程技术规范》,关联场景,中央风井~金海路站区间
深厚表土层冻结壁稳定性,研究对象,上海轨道交通12号线30标金京路站~申江路站区间联络通道及泵站冻结加固工程
冻结壁力学特性,应用于,上海轨道交通12号线30标金京路站~申江路站区间联络通道及泵站冻结加固工程
稳定性控制技术,支撑工程,726
天津地铁3号线水上北路站~吴家窑站区间联络通道,属于,联络通道
24.66米,等于,工程长度
-15.586,等于,隧道中心标高
杭州地铁5号线一期工程SG5-9标冷冻法联络通道加固工程,属于,联络通道
南京地铁4号线TA04标九华山站～岗子村站1号联络通道工程,属于,联络通道
22.42米,等于,工程长度
中铁隧道三公司,属于,隧道工程公司
-15.058,等于,隧道中心标高
南京地铁4号线TA04标九华山站～岗子村站1号联络通道工程,位于,南京
MT/T 1124—2011,发布年份,2011
2011年,等同于,2011
JGJ 118—2011,属于,建筑工业出版社标准体系
城市地下工程,涉及技术,《城市地下工程人工冻结法理论与实践》
张世芳,著作 通过 永夏矿区深厚冲积层特殊凿井技术,2003
张世芳,著作 通过 永夏矿区深厚冲积层特殊凿井技术,煤炭工业出版社
永夏矿区深厚冲积层特殊凿井技术,出版社 通过 煤炭工业出版社,冻结法凿井施工手册
永夏矿区深厚冲积层特殊凿井技术,出版社 通过 煤炭工业出版社,冻结法凿井施工技术应用与管理
永夏矿区深厚冲积层特殊凿井技术,出版社 通过 煤炭工业出版社,煤矿冻结法开凿立井工程技术规范
中国计划出版社,发布机构 通过 煤矿井巷工程质量验收规范,2010年
中国计划出版社,出版图书 通过 煤矿冻结法开凿立井工程技术规范,MT/T 1124—2011
中国计划出版社,出版图书 通过 煤矿冻结法开凿立井工程技术规范,2011年
中国计划出版社,出版图书 通过 煤矿冻结法开凿立井工程技术规范,煤炭工业出版社
煤炭工业出版社,出版图书 通过 煤矿冻结法开凿立井工程技术规范,MT/T 1124—2011
煤炭工业出版社,出版图书 通过 煤矿冻结法开凿立井工程技术规范,2011年
盛天宝,著作 通过 赵固矿区500m以上冲积层冻结法凿井技术,煤炭工业出版社
盛天宝,著作 通过 赵固矿区500m以上冲积层冻结法凿井技术,2011
陈文豹,著作 通过 赵固矿区500m以上冲积层冻结法凿井技术,煤炭工业出版社
陈文豹,著作 通过 赵固矿区500m以上冲积层冻结法凿井技术,2011
赵固矿区500m以上冲积层冻结法凿井技术,出版社 通过 煤炭工业出版社,冻结法凿井施工手册
赵固矿区500m以上冲积层冻结法凿井技术,出版社 通过 煤炭工业出版社,冻结法凿井施工技术应用与管理
赵固矿区500m以上冲积层冻结法凿井技术,出版社 通过 煤炭工业出版社,煤矿冻结法开凿立井工程技术规范
《王文顺. 深厚表土层中冻结壁稳定性研究》,出版单位 通过 中国矿业大学出版社,复杂条件下的冻结井筒施工成套技术
煤矿冻结法开凿立井工程技术规范,出版单位 通过 煤炭工业出版社,冻结法凿井施工手册
煤矿冻结法开凿立井工程技术规范,出版单位 通过 煤炭工业出版社,冻结法凿井施工技术应用与管理
《煤矿冻结法开凿立井工程技术规范》,规定场景 通过 煤矿立井开凿,冻结法凿井施工技术
《冻土地区建筑地基基础设计规范》,所述场景 通过 冻土地区建筑工程,冻结法凿井施工技术
《城市地下工程人工冻结法理论与实践》,提及技术 通过 城市地下工程,冻结法凿井施工技术
《复杂条件下的冻结井筒施工成套技术》,所述场景 通过 特殊地质条件下的井筒施工,冻结法凿井施工技术
《深厚表土中的冻结壁与井壁》,提及技术 通过 冻结壁与井壁联合支护,冻结法凿井施工技术
《特殊凿井》,提及应用 通过 特殊凿井工程,冻结法凿井施工技术
《井巷特殊施工》,提及应用 通过 特殊凿井工程,冻结法凿井施工技术
中煤邯郸设计院有限公司,简称 通过 中煤邯郸设计公司,2019年11月30日前
中煤隧道工程有限公司,简称 通过 中煤隧道公司,杭州地铁1号线13号彭埠站～建华站盾构区间联络通道
约翰芬雷华能设计工程有限公司,简称 通过 约翰芬雷华能设计公司,南京至高淳城际轨道禄口机场至溧水段工程中山东路站~中间盾构工作井盾构区间1号联络通道
约翰芬雷华能设计工程有限公司,简称 通过 约翰芬雷华能设计公司,杭州地铁1号线13号彭埠站～建华站盾构区间联络通道
约翰芬雷华能设计工程有限公司,简称 通过 约翰芬雷华能设计公司,常州轨道交通1号线森林公园~百丈出入段联络通道
约翰芬雷华能设计工程有限公司,简称 通过 约翰芬雷华能设计公司,武汉轨道交通7号线王家墩东站~新华路站区间联络通道
唐山开滦建设（集团）有限责任公司,简称是 通过 开滦建设集团,冻结法施工单位
中铁四局集团有限公司城市轨道交通工程分公司,简称 通过 中铁四局城轨分公司,城轨
北京城建设计发展集团股份有限公司,所属城市 通过 北京,未提及
北京市政建设集团有限责任公司,所属城市 通过 北京,未提及
中铁十六局集团北京轨道交通工程建设有限公司,简称 通过 中铁十六局北京城轨公司,城轨
中铁十七局集团上海轨道交通工程有限公司,简称 通过 中铁十七局上海城轨公司,城轨
上海城投(集团)有限公司,简称 通过 上海城投集团,城轨
中铁一局集团城市轨道交通工程有限公司,简称 通过 中铁一局城轨公司,城轨
中铁五局(集团)有限公司城市轨道交通工程分公司,简称 通过 中铁五局城轨分公司,城轨
中铁十一局集团城市轨道工程有限公司,简称 通过 中铁十一局城轨公司,城轨
中铁十九局集团轨道交通工程有限公司,简称 通过 中铁十九局城轨公司,城轨
北京市地铁运营有限公司,所属城市 通过 北京,未提及
北京市地铁集团有限责任公司,所属城市 通过 北京,未提及
北京市政四建设工程有限责任公司,所属城市 通过 北京,未提及
北京建工集团有限责任公司,所属城市 通过 北京,未提及
北京城建中南盾构工程有限公司,所属城市 通过 北京,未提及
上海地铁运营有限公司,简称 通过 上海地铁公司,城轨
上海申通地铁集团,委托 通过 南京设计院,上海轨道交通13号线陈春东路站~莲溪路站联络通道
上海申通地铁集团,委托 通过 南京设计院,上海浦东国际机场三期扩建工程捷运系统工程S1卫星厅站~T1航站楼站区间2号联络通道
上海申通地铁集团,委托 通过 南京设计院,宁波轨道交通3号线大通桥站~中兴大桥南站联络通道兼泵站
上海申通地铁集团,委托 通过 南京设计院,上海地铁13号线长清路站~华夏中路站区间联络通道
上海申通地铁集团,委托 通过 南京设计院,上海浦东国际机场三期扩建工程捷运系统工程S1卫星厅站~T1航站楼站区间1号联络通道
上海申通地铁集团,委托 通过 南京设计院,上海浦东国际机场三期扩建工程捷运系统工程S1卫星厅站~T4预留站区间3号联络通道
上海地铁12号线9标龙华路站水平端头井加固工程,设计单位 通过 天地科技,杭州地铁4号线联庄~水澄桥区间2号联络通道及泵站
上海地铁12号线9标龙华路站水平端头井加固工程,设计单位 通过 天地科技,杭州地铁2号线23标新良路站~良渚站区间联络通道及泵站
上海地铁12号线9标龙华路站水平端头井加固工程,设计单位 通过 天地科技,杭州地铁4号线联庄~水澄桥区间1号联络通道
上海地铁12号线9标龙华路站水平端头井加固工程,建设单位 通过 上海地铁公司,城轨
上海地铁12号线9标龙华路站水平端头井加固工程,施工单位 通过 上海城建市政集团,城轨
上海上中路中环线越江隧道浦东盾构出洞强制解冻融沉注浆工程,建设单位 通过 上海隧道公司,施工
天津地铁4号线六纬路站盾构到达冻结工程,参与单位 通过 中煤隧道公司,杭州地铁1号线13号彭埠站～建华站盾构区间联络通道
杭州地铁6号线江南风井西端头垂直加固工程,设计单位 通过 天地科技,杭州地铁4号线联庄~水澄桥区间2号联络通道及泵站
杭州地铁6号线江南风井西端头垂直加固工程,设计单位 通过 天地科技,杭州地铁2号线23标新良路站~良渚站区间联络通道及泵站
杭州地铁6号线江南风井西端头垂直加固工程,设计单位 通过 天地科技,杭州地铁4号线联庄~水澄桥区间1号联络通道
杭州地铁6号线江南风井西端头垂直加固工程,施工单位 通过 中煤隧道公司,杭州地铁1号线13号彭埠站～建华站盾构区间联络通道
上海轨道交通14号线昌邑路站西端头井上行线盾构接收冻结加固工程,建设单位 通过 上海申通地铁集团,南京设计院
上海轨道交通14号线昌邑路站西端头井上行线盾构接收冻结加固工程,建设单位 通过 上海申通地铁集团,城轨
上海轨道交通14号线昌邑路站西端头井上行线盾构接收冻结加固工程,施工单位 通过 中煤隧道公司,杭州地铁1号线13号彭埠站～建华站盾构区间联络通道
上海轨道交通14号线昌邑路站西端头井上行线盾构接收冻结加固工程,设计单位 通过 约翰芬雷华能设计公司,南京至高淳城际轨道禄口机场至溧水段工程中山东路站~中间盾构工作井盾构区间1号联络通道
上海轨道交通14号线昌邑路站西端头井上行线盾构接收冻结加固工程,设计单位 通过 约翰芬雷华能设计公司,杭州地铁1号线13号彭埠站～建华站盾构区间联络通道
上海轨道交通14号线昌邑路站西端头井上行线盾构接收冻结加固工程,设计单位 通过 约翰芬雷华能设计公司,常州轨道交通1号线森林公园~百丈出入段联络通道
上海轨道交通14号线昌邑路站西端头井上行线盾构接收冻结加固工程,设计单位 通过 约翰芬雷华能设计公司,武汉轨道交通7号线王家墩东站~新华路站区间联络通道
济南轨道交通R2线历山北路站右线接收洞门垂直加固项目,参与单位 通过 中煤隧道公司,杭州地铁1号线13号彭埠站～建华站盾构区间联络通道
南京地铁7号线东青石站洞门加固项目,建设单位 通过 中煤隧道公司,杭州地铁1号线13号彭埠站～建华站盾构区间联络通道
上海轨道交通14号线浦东大道站西端头井始发冻结加固工程,建设单位 通过 上海申通地铁集团,南京设计院
上海轨道交通14号线浦东大道站西端头井始发冻结加固工程,建设单位 通过 上海申通地铁集团,城轨
上海轨道交通14号线浦东大道站西端头井始发冻结加固工程,施工单位 通过 中煤隧道公司,杭州地铁1号线13号彭埠站～建华站盾构区间联络通道
上海轨道交通14号线浦东大道站西端头井始发冻结加固工程,设计单位 通过 约翰芬雷华能设计公司,南京至高淳城际轨道禄口机场至溧水段工程中山东路站~中间盾构工作井盾构区间1号联络通道
上海轨道交通14号线浦东大道站西端头井始发冻结加固工程,设计单位 通过 约翰芬雷华能设计公司,杭州地铁1号线13号彭埠站～建华站盾构区间联络通道
上海轨道交通14号线浦东大道站西端头井始发冻结加固工程,设计单位 通过 约翰芬雷华能设计公司,常州轨道交通1号线森林公园~百丈出入段联络通道
上海轨道交通14号线浦东大道站西端头井始发冻结加固工程,设计单位 通过 约翰芬雷华能设计公司,武汉轨道交通7号线王家墩东站~新华路站区间联络通道
上海轨道交通15号线桂林路站北端头井上行线盾构始发,建设单位 通过 上海申通地铁集团,城轨
上海轨道交通15号线桂林路站北端头井上行线盾构始发,设计单位 通过 南京设计院,上海轨道交通13号线陈春东路站~莲溪路站联络通道
上海轨道交通15号线桂林路站北端头井上行线盾构始发,设计单位 通过 南京设计院,上海浦东国际机场三期扩建工程捷运系统工程S1卫星厅站~T1航站楼站区间2号联络通道
上海轨道交通15号线桂林路站北端头井上行线盾构始发,设计单位 通过 南京设计院,宁波轨道交通3号线大通桥站~中兴大桥南站联络通道兼泵站
上海轨道交通15号线桂林路站北端头井上行线盾构始发,设计单位 通过 南京设计院,上海地铁13号线长清路站~华夏中路站区间联络通道
上海轨道交通15号线桂林路站北端头井上行线盾构始发,设计单位 通过 南京设计院,上海浦东国际机场三期扩建工程捷运系统工程S1卫星厅站~T1航站楼站区间1号联络通道
上海轨道交通15号线桂林路站北端头井上行线盾构始发,设计单位 通过 南京设计院,上海浦东国际机场三期扩建工程捷运系统工程S1卫星厅站~T4预留站区间3号联络通道
上海轨道交通15号线桂林路站北端头井上行线盾构始发,施工单位 通过 中煤隧道公司,杭州地铁1号线13号彭埠站～建华站盾构区间联络通道
上海轨道交通18号线莲溪路站接收洞门加固工程上行线,参与单位 通过 上海申通地铁集团,城轨
上海轨道交通18号线莲溪路站接收洞门加固工程上行线,参与单位 通过 南京设计院,上海轨道交通13号线陈春东路站~莲溪路站联络通道
上海轨道交通18号线莲溪路站接收洞门加固工程上行线,参与单位 通过 南京设计院,上海浦东国际机场三期扩建工程捷运系统工程S1卫星厅站~T1航站楼站区间2号联络通道
上海轨道交通18号线莲溪路站接收洞门加固工程上行线,参与单位 通过 南京设计院,宁波轨道交通3号线大通桥站~中兴大桥南站联络通道兼泵站
上海轨道交通18号线莲溪路站接收洞门加固工程上行线,参与单位 通过 南京设计院,上海地铁13号线长清路站~华夏中路站区间联络通道
上海轨道交通18号线莲溪路站接收洞门加固工程上行线,参与单位 通过 南京设计院,上海浦东国际机场三期扩建工程捷运系统工程S1卫星厅站~T1航站楼站区间1号联络通道
上海轨道交通18号线莲溪路站接收洞门加固工程上行线,参与单位 通过 南京设计院,上海浦东国际机场三期扩建工程捷运系统工程S1卫星厅站~T4预留站区间3号联络通道
